,user_id,post_title,post_desc
10,1841,"
Error in Join two datasets in Galaxy Docker 20.05
","[
You have selected 0 posts.

, 

      select all
    
, 

    cancel selecting
  
, Now, I installed Galaxy Docker 20.05 and tried to join two datasets using ’ Join Two Datasets side by side 2.1.3’. I can’t get the tool to run it. Error like this : 'No module named ‘galaxy’. After searching previous list, I noticed that there were technical problem in this module and fixed it now. But, this fault is not fixed in Docker image 20.05. So, I tried to download other version of ‘join two datasets side by side’ on tool shed and didn’t find anything. Are there any other option to solve this problem?, Is this the only tool failing like this?, Hi everyone! I had this same problem. But, I have a recent Galaxy installed in our local server, but not by the Docker., For me, the error message is:, galaxy/tools/filters/join.py"", line 19, in 
from galaxy.util import stringify_dictionary_keys
ModuleNotFoundError: No module named ‘galaxy’, Any tip to fix it?
Thanks, Hi everyone,, I am facing same problem. @lfdeoliveira did you solve this?, I’d highly appreciate if anyone can comment down the solution below.]"
11,3557,"
Error using “Join two datasets” tool on galaxy installed locally.
","[
You have selected 0 posts.

, 

      select all
    
, 

    cancel selecting
  
, Hi,
I am running galaxy locally. I am trying to use “Join two datasets tool”, I am unable to use this tool on my local server. However, this tool still works on galaxy server., I’d highly appreciate your help., error:
Traceback (most recent call last):
File “/galaxy/tools/filters/join.py”, line 19, in 
from galaxy.util import stringify_dictionary_keys
ModuleNotFoundError: No module named ‘galaxy’]"
12,853,"
Load function ‘load’ not found. when loading MSA viewer on usegalaxy.org
","[
You have selected 0 posts.

, 

      select all
    
, 

    cancel selecting
  
, I get the following error when trying to load any multiple sequence alignment on .org, , Hi @Peter_van_Heusden,
could you provide me with some additional details about how to reproduce this error?, Regards, Simple to reproduce - upload a FASTA format MSA, go to Visualize this data, click Multiple Sequence Alignment viewer and the error occurs. This is on usegalaxy.org, doesn’t happen on e.g. usegalaxy.org.au.]"
13,3530,"
Prokka_error_message_Argument “1.7.8”
","[
You have selected 0 posts.

, 

      select all
    
, 

    cancel selecting
  
, I try to run Prokka but I receive an error message:
Argument “Argument “1.7.8” isn’t numeric in numeric lt (<) at /usr/local/bin/prokka line 259.
Picked up _JAVA_OPTIONS: -Djava.io.tmpdir=/corral4/main/jobs/043/189/43189962/_job_tmp -Xmx28g -Xms256m
[02:16:27] Please rename your contigs OR try '–centre X --complia” isn’t numeric in numeric lt (<) at /usr/local/bin/prokka line 259.
Picked up _JAVA_OPTIONS: -Djava.io.tmpdir=/corral4/main/jobs/043/189/43189962/_job_tmp -Xmx28g -Xms256m
[02:16:27] Please rename your contigs OR try '–centre X --complia, Hi @Dr_Ahmed_Hammad,
could you share your Galaxy history with me? I’ll have a look at it. My email address is ., Regards]"
14,1799,"
roary core genome alignment file is empty.
","[
You have selected 0 posts.

, 

      select all
    
, 

    cancel selecting
  
, Good morning,
I run roary for 59 genomes, I got 600 core genes, but the alignment file is empty.
can someone please help me understand why, I ran roary two times and I got the same result.
thank you, for update, I rerun with roary tool in galaxy europe, and got the same result empty file for alignment, I check my gff files no problem with them, if some can guide me what to do I will be grateful., Hello everyone,, I’m responding to this topic because i’m experiencing the same issue. Roary runs, but output is empty (0 lines for “Summary statistics” and “Gene Presence Absence” tabular files and 0 bytes for the “Core Gene Alignment”). It worked fine when I tested few genomes, but the problem comes when I use more (552 in my case).
I got same results with different “minimum percentage identity for blastp” (90, 85, 65, 60 or 50%)., Anyone has a solution?
Thanks in advance., Up: the problem I reported is only for usegalaxy.eu. It worked with useglaxy.org. Still no idea why., Hi @Cosmo,
thanks for the report; we are investigating the cause of the problem. Could you share a Galaxy history with me in order to reproduce it?, Regards]"
15,3532,"
workflow for shotgun sequences analysis
","[
You have selected 0 posts.

, 

      select all
    
, 

    cancel selecting
  
, Is there a WORKFLOW for analyzing SHOTGUN sequences?, Hi @Michal_Liddor_Naim,
which biological question do you want to address?, Regards]"
16,3543,"
Nanoplot Tool crashing on private Cloud Galaxy server
","[
You have selected 0 posts.

, 

      select all
    
, 

    cancel selecting
  
, Hello !
I have installed Galaxy on a private cloud server (following this tutorial : Galaxy Installation with Ansible) on ubuntu 20.04. I want to run a specific tool (Nanoplot) on Nanopore data (fastq format) but when I try, I get an error :
""If you read this then NanoPlot has crashed 
Please try updating NanoPlot and see if that helps…, If not, please report this issue at Issues · wdecoster/NanoPlot · GitHub
If you could include the log file that would be really helpful.
Thanks!"", I installed Nanoplot at the last version using the toolshed (1.28.2+galaxy1)., Here is the dataset error report :
Dataset Error Report, An error occurred while running the tool toolshed.g2.bx.psu.edu/repos/iuc/nanoplot/nanoplot/1.28.2+galaxy1.
Details, Execution resulted in the following messages:, Fatal error: Exit code 1 (), Tool generated the following standard error:, Matplotlib created a temporary config/cache directory at /srv/galaxy/var/tmp/matplotlib-ymr9i8qo because the default path (/srv/galaxy/.config/matplotlib) is not a writable directory; it is highly recommended to set the MPLCONFIGDIR environment variable to a writable directory, in particular to speed up the import of Matplotlib and to better support multiprocessing.
Traceback (most recent call last):
File “/srv/galaxy/var/dependencies/_conda/envs/__nanoplot@1.28.2/bin/NanoPlot”, line 10, in 
sys.exit(main())
File “/srv/galaxy/var/dependencies/_conda/envs/__nanoplot@1.28.2/lib/python3.9/site-packages/nanoplot/NanoPlot.py”, line 95, in main
plots = make_plots(datadf, settings)
File “/srv/galaxy/var/dependencies/_conda/envs/__nanoplot@1.28.2/lib/python3.9/site-packages/nanoplot/NanoPlot.py”, line 152, in make_plots
nanoplotter.scatter(
File “/srv/galaxy/var/dependencies/_conda/envs/__nanoplot@1.28.2/lib/python3.9/site-packages/nanoplotter/nanoplotter_main.py”, line 159, in scatter
plot = sns.jointplot(
File “/srv/galaxy/var/dependencies/_conda/envs/__nanoplot@1.28.2/lib/python3.9/site-packages/seaborn/_decorators.py”, line 46, in inner_f
return f(**kwargs)
File “/srv/galaxy/var/dependencies/_conda/envs/__nanoplot@1.28.2/lib/python3.9/site-packages/seaborn/axisgrid.py”, line 2244, in jointplot
grid.plot_joint(scatterplot, **joint_kws)
File “/srv/galaxy/var/dependencies/_conda/envs/__nanoplot@1.28.2/lib/python3.9/site-packages/seaborn/axisgrid.py”, line 1806, in plot_joint
func(x=self.x, y=self.y, **kwargs)
File “/srv/galaxy/var/dependencies/_conda/envs/__nanoplot@1.28.2/lib/python3.9/site-packages/seaborn/_decorators.py”, line 46, in inner_f
return f(**kwargs)
File “/srv/galaxy/var/dependencies/_conda/envs/__nanoplot@1.28.2/lib/python3.9/site-packages/seaborn/relational.py”, line 827, in scatterplot
p.plot(ax, kwargs)
File “/srv/galaxy/var/dependencies/_conda/envs/__nanoplot@1.28.2/lib/python3.9/site-packages/seaborn/relational.py”, line 608, in plot
scout = ax.scatter(scout_x, scout_y, **kws)
File “/srv/galaxy/var/dependencies/_conda/envs/__nanoplot@1.28.2/lib/python3.9/site-packages/matplotlib/init.py”, line 1412, in inner
return func(ax, *map(sanitize_sequence, args), **kwargs)
File “/srv/galaxy/var/dependencies/_conda/envs/__nanoplot@1.28.2/lib/python3.9/site-packages/matplotlib/axes/_axes.py”, line 4461, in scatter
collection.update(kwargs)
File “/srv/galaxy/var/dependencies/_conda/envs/__nanoplot@1.28.2/lib/python3.9/site-packages/matplotlib/artist.py”, line 1064, in update
raise AttributeError(f""{type(self).name!r} object ""
AttributeError: ‘PathCollection’ object has no property ‘stat_func’, Galaxy job runner generated the following standard error:, Matplotlib created a temporary config/cache directory at /srv/galaxy/var/tmp/matplotlib-ymr9i8qo because the default path (/srv/galaxy/.config/matplotlib) is not a writable directory; it is highly recommended to set the MPLCONFIGDIR environment variable to a writable directory, in particular to speed up the import of Matplotlib and to better support multiprocessing.
Traceback (most recent call last):
File “/srv/galaxy/var/dependencies/_conda/envs/__nanoplot@1.28.2/bin/NanoPlot”, line 10, in 
sys.exit(main())
File “/srv/galaxy/var/dependencies/_conda/envs/__nanoplot@1.28.2/lib/python3.9/site-packages/nanoplot/NanoPlot.py”, line 95, in main
plots = make_plots(datadf, settings)
File “/srv/galaxy/var/dependencies/_conda/envs/__nanoplot@1.28.2/lib/python3.9/site-packages/nanoplot/NanoPlot.py”, line 152, in make_plots
nanoplotter.scatter(
File “/srv/galaxy/var/dependencies/_conda/envs/__nanoplot@1.28.2/lib/python3.9/site-packages/nanoplotter/nanoplotter_main.py”, line 159, in scatter
plot = sns.jointplot(
File “/srv/galaxy/var/dependencies/_conda/envs/__nanoplot@1.28.2/lib/python3.9/site-packages/seaborn/_decorators.py”, line 46, in inner_f
return f(**kwargs)
File “/srv/galaxy/var/dependencies/_conda/envs/__nanoplot@1.28.2/lib/python3.9/site-packages/seaborn/axisgrid.py”, line 2244, in jointplot
grid.plot_joint(scatterplot, **joint_kws)
File “/srv/galaxy/var/dependencies/_conda/envs/__nanoplot@1.28.2/lib/python3.9/site-packages/seaborn/axisgrid.py”, line 1806, in plot_joint
func(x=self.x, y=self.y, **kwargs)
File “/srv/galaxy/var/dependencies/_conda/envs/__nanoplot@1.28.2/lib/python3.9/site-packages/seaborn/_decorators.py”, line 46, in inner_f
return f(**kwargs)
File “/srv/galaxy/var/dependencies/_conda/envs/__nanoplot@1.28.2/lib/python3.9/site-packages/seaborn/relational.py”, line 827, in scatterplot
p.plot(ax, kwargs)
File “/srv/galaxy/var/dependencies/_conda/envs/__nanoplot@1.28.2/lib/python3.9/site-packages/seaborn/relational.py”, line 608, in plot
scout = ax.scatter(scout_x, scout_y, **kws)
File “/srv/galaxy/var/dependencies/_conda/envs/__nanoplot@1.28.2/lib/python3.9/site-packages/matplotlib/init.py”, line 1412, in inner
return func(ax, *map(sanitize_sequence, args), **kwargs)
File “/srv/galaxy/var/dependencies/_conda/envs/__nanoplot@1.28.2/lib/python3.9/site-packages/matplotlib/axes/_axes.py”, line 4461, in scatter
collection.update(kwargs)
File “/srv/galaxy/var/dependencies/_conda/envs/__nanoplot@1.28.2/lib/python3.9/site-packages/matplotlib/artist.py”, line 1064, in update
raise AttributeError(f""{type(self).name!r} object ""
AttributeError: ‘PathCollection’ object has no property ‘stat_func’, Here some info that are in my group_vars/galaxyservers.yml :, galaxy_create_user: true
galaxy_separate_privileges: true
galaxy_manage_paths: true
galaxy_layout: root-dir
galaxy_root: /srv/galaxy
galaxy_user: {name: galaxy, shell: /bin/bash}
galaxy_commit_id: release_22.01
galaxy_force_checkout: true
miniconda_prefix: “{{ galaxy_tool_dependency_dir }}/_conda”
miniconda_version: py39_4.12.0
miniconda_manage_dependencies: true, Hi @Enzo_C,
the problem seems to be related to this issue 1. Nanoplot updates should fix it; I’ll try to make it available the next week (there is a PR already opened)., Regards]"
17,2999,"
How to ‘force=TRUE’ in Human Methylation BeadChip module
","[
You have selected 0 posts.

, 

      select all
    
, 

    cancel selecting
  
, Hello everybody,, I am very new to Galaxy and hope for help with a - most likely - very trivial problem. I am trying to run the Infinium Human Methylation BeadChip module according to the respective Tutorial but using my own data. Unfortunately, I now encountered the error:, “(…)
Error in read.metharray(list.files(pattern = “_Red.idat”)) :
[read.metharray] Trying to parse IDAT files with different array size but seemingly all of the same type.
You can force this by ‘force=TRUE’, see the man page ?read.metharray
Execution halted”, According to what I found in the Bioconductor forum, this seems to happen quite regularly with EPIC data and it should be okay to try the ‘force=TRUE’. But, unfortunately, I do not know how to adjust this setting using Galaxy., Any advice would be very welcome!, Many thanks in advance and best wishes,
Lea, Hi @ljflitsch,
I opened a PR 2 in order to include this option in the Galaxy wrapper., Regards, Hey,
@gallardoalba: Thank you very much for your help and effort. Since I am really new to this topic: Is there any way to get notified once this option becomes actually usable in Galaxy as an ‘end user’? E.g. anything/anywhere I can ‘follow’ to receive updates on this matter (perhaps via registering at GitHub)? Sorry for any inconveniences and best regards!, Yes, if you leave a comment in the PR, it will notify the news related to it., Regards, Will do so. Thank you very much., Are there perhaps any news on this topic? It has been a while since this help request and the corresponding PR has been initiated. Unfortunately though, I’m still encountering the same error message I’ve also had back then. Thus, I am now wondering whether the error might originally have had a different source or whether the ‘force=TRUE’ option was not yet included in the Galaxy wrapper (at least I could not spot a new setting bar for this). Many thanks!, Hi @ljflitsch,
sorry, I didn’t get any response from the tool developers; I tried again to ask them to review the Pull Request. If in the next few days there’re no news, I’ll try to find a different solution., Regards]"
18,3550,"
Visualization of box plot(jqPlot) problem
","[
You have selected 0 posts.

, 

      select all
    
, 

    cancel selecting
  
, Hi Galaxy team!, I started training on Label-free data analysis using MaxQuant.
I have a problem with “Visualize this data” on the cut tool result.
When I selected box plot(jqPlot) it did not visualize data.
Instead a message “Please confirm the settings before rendering the results” appeared., With best regards,, Arman, Hi @Arman_Kulyyassov,
thank you for your report; I contacted the person in charge of this training in order to check the problem., Regards, Hi Arman,
the Galaxy interface has changed a bit. When you see the message “Please confirm the settings before rendering the results” you should see two small arrows on the upper right corner of the screen. Once you click on them the menu appears which allows you to set the specified parameters., Best,
Melanie, Dear Melanie,, thank you very much for your letter and helpful advice. I followed instructions but instead of a visualization plot I get this:
, ]"
19,600,"
How to interpret bedcov tools output?
","[
You have selected 0 posts.

, 

      select all
    
, 

    cancel selecting
  
, Hello. I would like to ask there I can find some information how to interpret BedCov tool output, because there is just numbers in the first line (header) and I can’t understand which column shows me sequence coverage? The second question is how I can visualize the coverage using Galaxy? Is there any tool which might help to do that?, Hi, did you find out what the bedcov output meant?, Hi @amyhouseman,
bedcov reports the total number of reads in the specific interval (sum of per-base read depths per BED region, discussed here). What is your goal? If you are interested in computing the average coverage of specific intervals, I suggest you to use bedtools Genome Coverage., Regards, Hi! Thank you for your reply., I wanted to work out the average read depth at each position using the bam file against the capture exome bed file - I did this using the average of the samtools depth output., Then I want to see how much coverage and % mapping has been achieved over the capture exome bed file - for this I have just been using samtools flagstat (samtools view -bu -L capture.bed in.bam |samtools flagstat)., I think the output of this gives me what I need for the % mapped to the bed?:, 91223463 + 0 in total (QC-passed reads + QC-failed reads)
0 + 0 secondary
11162 + 0 supplementary
0 + 0 duplicates
91220169 + 0 mapped (100.00% : N/A)
91212301 + 0 paired in sequencing
45644366 + 0 read1
45567935 + 0 read2
90959524 + 0 properly paired (99.72% : N/A)
91204491 + 0 with itself and mate mapped
4516 + 0 singletons (0.00% : N/A)
154458 + 0 with mate mapped to a different chr
143066 + 0 with mate mapped to a different chr (mapQ>=5), I have ran bedcov but I don’t know if its output is relevant for the coverage mapping percentage. I did try and use bedtools genome coverage but couldn’t work out how to use my bed file as the comparison - if that makes sense!, Thanks,
Amy, Indeed bedcov is not relevant at all in that case; regarding bedtools genome coverage, you could use bedtools Intersect intervals in order to get the reads that overlap with the exome capture bed file, and then using it as input for the bedtools genome coverage tool., Regards]"
20,3551,"
De Novo Assembly from Nanopore Reads
","[
You have selected 0 posts.

, 

      select all
    
, 

    cancel selecting
  
, Hello,
I am trying to perfrom a de novo assembly from nanopore reads. All the reads are stored in a fasta file. I tried to run the flye assembler on the dataset, but 3 hours later, It returns with an error.
toolshed.g2.bx.psu.edu/repos/bgruening/flye/flye/2.9+galaxy0 .
Does anyone know what this error means, and point me in the direction to fix it.
I can provide more information if needed.
Thanks, Hi @Bolivian_Ram,
could you share your Galaxy history with me? I’ll have a look. You can share it with me by using my email address ., Regards]"
21,1915,"
Error message when loading RNAStar
","[
You have selected 0 posts.

, 

      select all
    
, 

    cancel selecting
  
, Hi Galaxy Team!, We try to use RNAStar for analyzing our paired-end sequencing data. After building a list of dataset pairs, the platform returns the following message to us when we try to load RNAStar:, Loading tool toolshed.g2.bx.psu.edu/repos/iuc/rgrnastar/rna_star/2.7.8a+galaxy0 failed: Bad Gateway (502), This does not happen when we try to load the tool in the original list of unpaired .fastq files. Can you provide any help to solve this problem?, Best regards,
Max, Hi @Max,
this problem seems to be related to the storage issue. We hope it will be fixed this week. Sorry for the inconvenience., Regards]"
22,2008,"
Alphafold2 Error Message - Could not find HHsearch database /data/pdb70/pdb70
","[
You have selected 0 posts.

, 

      select all
    
, 

    cancel selecting
  
, I was running a collection of FASTA files on ALphafold2. Each FASTA file contains a single line of FASTA header and a single line of amino acid sequence. The run failed and the error message generated was “Could not find HHsearch database /data/pdb70/pdb70”., , , What should I do now so that I can run the structure prediction?]"
23,2934,"
Filter BAM dataset on spliced alignments
","[
You have selected 0 posts.

, 

      select all
    
, 

    cancel selecting
  
, I’m trying to filter reads with skipped regions/spliced alignments which have N bases in the cigar string. I’m using the following tool: Filter BAM datasets on a variety of attributes (Galaxy Version 2.5.1+galaxy0). I selected the option to filter on cigar string but do not know how to give a command to filter only reads with the ‘N’ base. Does anyone know how to do this?]"
